Team,Selected,Games,3rdDownConvPct,3rdDownConvPctDef,4thDownConvPct,4thDownConvPctDef,CompPct,PenPerGame,PenYardsPerGame,OppFDPerGame,FDPerGame,NetYdsPunt,PassYdsPerAtt,PassYdsPerComp,PassYdsPerGame,PassYdsPerAttDef,PassYdsPerCompDef,PassYdsPerGameDef,AvgPuntReturnYds,OppRZScorePct,OppPointsPerRZAtt,RZScorePct,PointsPerRZAtt,RushYdsPerRushDef,RushYdsPerGameDef,RushYdsPerRush,RushYdsPerGame,SacksAllowed,PPGDef,PPG,TFLAllowed,Sacks,TFLPG,AvgTOP,YdsPerPlayDef,YdsPerGameDef,YdsPerPlay,YdsPerGame,AvgTurnoverMargin,WinPct,Conference,Win.%.vs.Rank,AvgPointDifferential,Conf.Champ,Yrs.Since.Last.Selected,Year
Iowa St. (Big 12),0,12,0.391,0.418,0.75,0.462,0.629,4.5,41.33,20.25,21,38.08,7.37,11.72,269.5,7.22,10.73,234.2,9.05,0.821,4.38,0.878,4.47,3.71,134.3,3.74,119.8,1.33,21,29.9,4.17,1.67,7.2,29.62,5.37,368.4,5.67,389.3,0.92,0.583,Big 12,0.667,8.9,0,5,2017
Kansas (Big 12),0,12,0.289,0.401,0.542,0.619,0.541,5.5,46.08,22.08,16.17,34.57,5.91,10.91,226.4,9.32,13.44,296.8,6.23,0.898,4.88,0.938,4.5,4.19,171.6,3.15,102.6,2.42,43.4,18.7,7.67,1.83,7.4,27.5,6.44,468.3,4.64,329,-1.42,0.083,Big 12,0.001,-24.7,0,5,2017
Kansas St. (Big 12),0,12,0.324,0.425,0.143,0.526,0.577,5.42,48,21.5,17,40,8.62,14.93,181.7,7.57,12.17,310.3,14.78,0.787,3.89,0.837,4.29,3.63,121.8,4.77,186.7,1.92,25.8,32.1,7.13,2,4.9,30.22,5.8,432,6.11,368.3,0.83,0.583,Big 12,0.333,6.3,0,5,2017
Oklahoma (Big 12),1,13,0.431,0.387,0.522,0.591,0.718,6.23,61.77,20.38,25.92,37.83,12.03,16.76,367.4,7.48,12.66,240.6,5.69,0.87,4.37,0.908,4.89,4.02,144.2,5.6,215.9,1.62,25,44.9,4.46,1.85,5.5,31.73,5.66,384.8,8.44,583.3,0.38,0.923,Big 12,1,19.9,1,1,2017
Oklahoma St. (Big 12),0,12,0.458,0.372,0.722,0.615,0.645,5.17,47.67,21.25,27.92,37.51,10,15.49,392.3,7.71,13.31,268.5,5.2,0.837,4.12,0.886,4.67,3.47,131.8,4.65,183.3,1.75,30.1,46.3,6.17,2.33,7.7,28.63,5.5,400.3,7.32,575.7,0.08,0.75,Big 12,0.5,16.2,0,5,2017
TCU (Big 12),0,13,0.462,0.297,0.417,0.458,0.661,6.77,57.38,16.62,21.31,36.75,7.94,12.02,237.7,7.27,13.89,228.7,14.06,0.645,3.1,0.88,4.68,2.91,99.8,4.52,176.2,1.38,17.6,33.2,6.15,3.15,6.8,30.97,5,328.5,6.01,413.9,0.31,0.769,Big 12,0.4,15.6,0,5,2017
Texas (Big 12),0,12,0.385,0.276,0.467,0.3,0.598,7.08,65.58,17.67,20.75,44.66,6.8,11.38,266.5,7.37,12.74,257.9,8.33,0.805,3.88,0.778,4.13,2.96,105.7,3.66,141.8,2.67,21.7,29.2,6.58,2.5,6.6,30.98,5.15,363.6,5.24,408.3,0.33,0.5,Big 12,0.2,7.5,0,5,2017
Texas Tech (Big 12),0,12,0.437,0.418,0.45,0.7,0.666,7.83,74.08,24.08,24.42,38.75,8.14,12.22,326.8,7.05,11.04,279.8,5.13,0.839,4.5,0.679,3.64,4.21,154.3,4.01,141.6,2.17,31.8,34.3,6,1.5,4.3,29,5.69,434,6.2,468.4,0.92,0.5,Big 12,0.001,2.5,0,5,2017
West Virginia (Big 12),0,12,0.351,0.335,0.75,0.727,0.63,6.17,60.42,21.67,24.58,35.52,8.64,13.72,324.8,7.87,13.39,247.8,5.38,0.836,4.42,0.86,4.68,5.06,204.8,4.38,160.4,1.42,31.6,36.3,4.08,1.5,6.1,27.73,6.28,452.5,6.54,485.2,-0.42,0.583,Big 12,0.333,4.7,0,5,2017
Illinois (Big Ten),0,12,0.335,0.437,0.4,0.667,0.496,7.08,64,22.42,14.5,39.29,6.19,12.49,174.8,7.08,11.94,199.9,6.17,0.814,4.47,0.889,4.22,4.78,218.5,3.28,105.6,3.5,31.5,15.4,7.17,1.58,4.4,28.23,5.66,418.4,4.64,280.4,-0.58,0.167,Big Ten,0.001,-16.1,0,5,2017
Indiana (Big Ten),0,12,0.379,0.299,0.474,0.529,0.61,5.92,58.92,17.5,21,37.62,6.35,10.42,265.7,6.49,11.91,179.7,12.69,0.875,4.58,0.864,4.43,3.87,160.4,3.48,130.1,2.42,25.3,26.8,6.17,3,7.3,28.38,4.92,340.1,4.99,395.8,-0.58,0.417,Big Ten,0.001,1.5,0,5,2017
Iowa (Big Ten),0,12,0.355,0.333,0.636,0.478,0.562,5.25,42.83,19,17.75,37.38,6.98,12.43,197.8,5.92,10.62,213.3,6.78,0.806,3.83,0.773,4.3,4.14,142.1,3.87,142.4,1.83,19.9,28.3,6.17,2.25,5.1,30.25,5.05,355.3,5.22,340.3,0.33,0.583,Big Ten,0.333,8.4,0,5,2017
Maryland (Big Ten),0,12,0.286,0.495,0.458,0.5,0.55,6.92,64.5,23.67,16.75,35.74,6.1,11.09,161.7,6.76,11.48,228.6,10.5,0.855,4.8,0.757,4.05,4.67,190.8,4.45,161.7,2.92,37.1,24.1,6.83,1.33,4.9,27.27,5.62,419.4,5.15,323.3,0.17,0.333,Big Ten,0.167,-13,0,5,2017
Michigan (Big Ten),0,12,0.347,0.271,0.615,0.455,0.545,6.67,58.58,13.83,17.5,35.86,6.72,12.34,168.6,5.78,12.14,142.7,8.29,0.821,4.29,0.872,4.31,3.56,125.9,4.51,186.3,2.83,18.3,25.8,6.58,3.25,8.5,31.75,4.47,268.6,5.34,354.9,-0.17,0.667,Big Ten,0.25,7.5,0,5,2017
Michigan St. (Big Ten),0,12,0.432,0.319,0.588,0.571,0.582,6.5,59.83,15.75,21.33,38.25,6.43,11.05,215.4,6.27,11.67,196.5,3.9,0.862,4.24,0.809,4.09,3.38,101.3,3.92,162.9,1.67,20.3,23.1,5.5,2.33,5.3,35.2,4.85,297.8,5.04,378.3,0.17,0.75,Big Ten,0.667,2.8,0,1,2017
Minnesota (Big Ten),0,12,0.335,0.384,0.769,0.412,0.472,3.25,28.33,17.33,16.42,38.13,6.49,13.75,126.1,6.31,9.97,174.5,4,0.842,4.58,0.805,4.1,4.9,172.2,4.17,182.4,1.83,22.8,22.1,5.17,1.92,5.9,30.95,5.52,346.7,4.88,308.5,0,0.417,Big Ten,0.001,-0.7,0,5,2017
Nebraska (Big Ten),0,12,0.376,0.431,0.481,0.5,0.577,6.25,60.67,23.25,19.67,38.9,7.25,12.57,277.5,7.32,11.35,221.4,6.2,0.877,4.79,0.756,3.8,5.57,214.8,3.51,107.5,2,36.4,25.8,5.13,1.17,3.7,30.6,6.34,436.2,5.59,385,-0.58,0.333,Big Ten,0.001,-10.6,0,5,2017
Northwestern (Big Ten),0,12,0.355,0.375,0.618,0.333,0.607,4.75,47.25,19.33,23.08,40.15,6.66,10.98,244.3,6.52,11.34,247.6,7.67,0.711,3.71,0.907,4.89,3.26,111.3,4.01,160.9,2.42,19.8,29.7,5.67,2.5,7.3,30.48,4.98,358.8,5.28,405.2,0.42,0.75,Big Ten,0.333,9.9,0,5,2017
Ohio St. (Big Ten),0,13,0.486,0.321,0.7,0.458,0.652,7.23,70.23,16.31,26.23,41.43,8.43,12.92,274.2,5.94,10.85,183.5,5.69,0.778,4.17,0.894,4.68,3.04,108.8,5.88,249.4,1.46,19.9,42.5,4.15,2.85,7.7,28.65,4.38,292.3,6.99,523.6,0.15,0.846,Big Ten,0.75,22.6,1,0,2017
Penn St. (Big Ten),0,12,0.448,0.335,0.538,0.458,0.645,4.33,39.17,17.67,22.58,39.81,8.23,12.75,285.8,6,10.38,210.2,13.08,0.833,4.1,0.911,5.09,3.38,119.2,4.86,167.4,2.33,15.5,41.6,7.25,3.17,7.1,29.88,4.69,329.3,6.55,453.3,1.17,0.833,Big Ten,0.333,26.1,0,5,2017
Purdue (Big Ten),0,12,0.329,0.365,0.6,0.565,0.591,5.83,50.67,19.25,21.25,37.81,6.56,11.1,239.5,6.94,12.34,237.6,3.44,0.81,3.86,0.889,4.4,3.59,133.3,4.45,150.9,2.5,19.3,24.2,5.08,2.08,6,28.67,5.19,370.9,5.54,390.4,0.25,0.5,Big Ten,0.001,4.9,0,5,2017
Rutgers (Big Ten),0,12,0.321,0.384,0.286,0.6,0.491,5.92,50.08,20.25,13.75,38.77,5.04,10.27,115.6,7.2,12.63,216.8,6.72,0.939,4.71,0.8,4.2,4.59,181.8,4.05,147.1,1.5,28.3,18,6,1.33,4.2,28.5,5.72,398.6,4.43,262.7,-0.42,0.333,Big Ten,0.001,-10.3,0,5,2017
Wisconsin (Big Ten),0,13,0.488,0.296,0.667,0.647,0.622,5.54,51.38,13.77,20.92,36.73,8.35,13.43,187,5.66,11.54,160.6,8.45,0.727,3.09,0.842,4.47,2.96,92.6,5.09,229.2,1.54,13.2,33.8,4.92,3,6.5,35.15,4.24,253.2,6.18,416.2,0.23,0.923,Big Ten,0.667,20.6,0,5,2017
Notre Dame (FBS Independent),0,12,0.436,0.335,0.588,0.478,0.509,5.92,51.5,19.92,21.33,37.41,6.51,12.79,175.8,6.22,11,213.5,6.5,0.814,4.05,0.911,5,3.96,153.2,6.37,279.1,2.17,21.8,35.3,5.75,1.83,6.3,28.03,5.02,366.7,6.42,454.9,0.42,0.75,FBS Independent,0.4,13.5,-1,4,2017
Arizona (Pac-12),0,12,0.435,0.478,0.706,0.591,0.617,5.17,54.83,24.5,24,28.38,7.59,12.3,170.1,7.55,12.13,276.9,12.38,0.754,4.28,0.885,4.79,4.66,187.3,6.83,324.4,1.25,34.1,41.8,4.75,2.33,5.7,28.68,6.04,464.2,7.07,494.5,0.33,0.583,Pac-12,0.333,7.7,0,5,2017
Arizona St. (Pac-12),0,12,0.438,0.4,0.556,0.375,0.636,4.08,40.25,22.25,21.42,35.79,7.9,12.44,247.7,7.5,12.19,268.1,6.05,0.813,4.13,0.958,5.13,5.08,178.9,4.04,179.9,3.17,31.3,31.9,6.5,2.92,6.3,31.88,6.3,447,5.63,427.6,0.42,0.583,Pac-12,0.667,0.6,0,5,2017
California (Pac-12),0,12,0.404,0.442,0.68,0.444,0.584,6.5,54.83,22.42,22.08,37.2,6.53,11.18,258.9,7.72,11.95,265.8,9.89,0.809,4.02,0.816,4.1,4.15,164.1,3.62,125.6,2.92,28.4,27.8,7,2.33,5.6,29.48,5.81,429.9,5.17,384.5,0.33,0.417,Pac-12,0.25,-0.6,0,5,2017
Colorado (Pac-12),0,12,0.418,0.422,0.5,0.375,0.595,6.25,55.67,23.25,22.58,40.03,7.62,12.81,260.4,7.15,12.82,242.6,10.53,0.851,4.21,0.841,4.23,5.23,208,3.78,157.2,3.25,28.2,26.4,6,1.58,4.5,28.85,6.12,450.6,5.51,417.6,0,0.417,Pac-12,0.001,-1.8,0,5,2017
Oregon (Pac-12),0,12,0.421,0.324,0.333,0.391,0.644,9.33,87.75,20.17,22.58,33.74,8.13,12.63,186.3,6.54,11.84,229.9,6.38,0.897,4.54,0.891,5.02,3.59,129.9,5.36,268,1.75,28.3,36.7,6.08,2.67,7.3,28.63,5.04,359.8,6.23,454.3,0.08,0.583,Pac-12,0.001,8.4,0,2,2017
Oregon St. (Pac-12),0,12,0.402,0.532,0.615,0.733,0.591,7,68,26.17,19,36.93,6.51,11,196.3,8.28,12.44,237.3,5.83,0.892,4.89,0.886,4.54,5.49,235.8,4.01,137.5,1.5,43,20.7,5.17,1.17,4.2,29.18,6.61,473.1,5.18,333.8,-1.17,0.083,Pac-12,0.001,-22.3,0,5,2017
Southern California (Pac-12),0,13,0.421,0.369,0.417,0.56,0.635,8,72.31,20.69,24.38,36.86,8.59,13.53,294.6,7,12.97,246.5,11.95,0.7,3.66,0.764,4.09,4.36,158.3,5,194.9,1.69,26.3,34.5,4.54,3.31,6.2,30.6,5.66,404.8,6.68,489.5,0.08,0.846,Pac-12,0.6,8.2,1,5,2017
Stanford (Pac-12),0,13,0.419,0.438,0.545,0.438,0.574,6,49.77,20.92,17.77,42.23,7.13,12.41,184.3,7.56,12.05,228.1,8.6,0.86,4.47,0.889,4.61,4.53,170.7,6,205.8,1.23,21.5,32,5.15,2.46,5.2,30.05,5.88,398.8,6.49,390.2,1.15,0.692,Pac-12,0.5,10.5,0,5,2017
UCLA (Pac-12),0,12,0.426,0.378,0.667,0.435,0.631,8.17,75.33,24.92,24.17,37,8.27,13.11,345.3,7.32,12.81,206.1,5.21,0.879,4.36,0.868,4.53,5.65,282.7,3.88,120.3,2.42,36.8,33.8,6.5,1.58,5.9,26.62,6.25,488.8,6.4,465.7,-0.75,0.5,Pac-12,0.001,-3,0,5,2017
Utah (Pac-12),0,12,0.357,0.397,0.563,0.5,0.623,6.92,63.08,18.42,23.33,42.2,7.69,12.36,256.4,6.25,10.88,214,10.21,0.854,4.17,0.862,4.19,4.13,139.8,4.09,161.3,2.67,23.9,29.5,7,1.92,5.1,32.02,5.2,353.8,5.74,417.7,-0.08,0.5,Pac-12,0.001,5.6,0,5,2017
Washington (Pac-12),0,12,0.445,0.342,0.545,0.632,0.693,4.17,35.25,16.17,21.42,38.7,8.34,12.05,221.8,5.91,9.25,185.1,18.32,0.88,4.2,0.828,4.45,2.63,92.3,5.1,189.8,1.33,14.5,36.9,5.5,3.08,6.8,28.88,4.18,277.4,6.45,411.7,0.92,0.833,Pac-12,1,22.4,0,0,2017
Washington St. (Pac-12),0,12,0.424,0.248,0.529,0.412,0.676,5.75,51.67,15.67,23.83,36.44,6.78,10.04,374.8,6.11,11.35,167.4,4.14,0.865,4.38,0.865,4.38,4.17,146.2,2.92,71.7,3.67,24.4,31.4,6.42,3,8.2,33.18,5.02,313.6,5.59,446.4,-0.17,0.75,Pac-12,0.667,7,0,5,2017
Alabama (SEC),1,12,0.415,0.33,0.813,0.353,0.62,5.17,43.17,14.92,22.92,40.86,8.7,14.04,200.1,5.5,10.07,163.7,7.77,0.75,3.75,0.881,4.78,2.76,94.1,6,265.3,1.83,11.5,39.1,3.75,2.58,6.7,29.83,4.04,257.8,6.92,465.4,1,0.917,SEC,0.75,27.6,0,0,2017
Arkansas (SEC),0,12,0.418,0.475,0.5,0.667,0.565,4.83,42.08,21.42,19.83,36.9,7.25,12.84,205.4,8.4,14.18,242.2,12.75,0.923,4.73,0.875,4.88,5.02,196.1,4.36,168,2.92,36.2,28.8,6.75,1.58,4,31.4,6.45,438.3,5.59,373.4,-0.08,0.333,SEC,0.001,-7.4,0,5,2017
Auburn (SEC),0,13,0.45,0.322,0.429,0.467,0.67,4.23,36.62,16.38,21.85,35.29,8.66,12.93,225.8,5.88,10.7,177.8,9.45,0.839,4.16,0.875,4.55,3.55,134.5,4.96,228.2,2.31,17.3,34.4,6.08,2.77,6.1,31.13,4.58,312.3,6.3,454,0.08,0.769,SEC,0.6,17.1,0,3,2017
Florida (SEC),0,11,0.325,0.331,0.667,0.714,0.558,8,58.73,17.45,16.82,40.95,6.33,11.35,179.5,7.96,14.52,195.4,5.08,0.829,4.29,0.968,4.94,4.23,153.9,4.3,156.4,3.36,27.3,22.1,6.64,2.09,6.5,31.05,5.73,349.3,5.19,335.9,-0.27,0.364,SEC,0.333,-5.2,0,5,2017
Georgia (SEC),1,13,0.473,0.332,0.583,0.25,0.615,6.38,56.23,14.62,20.23,42.06,9.06,14.74,170.1,5.58,10.14,158.3,9.12,0.786,3.75,0.96,4.98,3.47,112.6,5.8,263.5,1.23,13.2,34.9,4.31,2,6,32.38,4.45,270.9,6.75,433.6,0.38,0.923,SEC,0.75,21.7,1,5,2017
Kentucky (SEC),0,12,0.411,0.411,0.556,0.708,0.601,5.5,46.75,22.42,18.75,40.1,7.47,12.42,181.1,7.79,11.93,263.5,17.33,0.907,4.53,0.923,4.62,4.75,162.2,4.37,169.8,2.42,28.6,25.8,5.75,2.33,4.8,30.85,6.26,425.7,5.56,350.8,0.42,0.583,SEC,0.001,-2.8,0,5,2017
LSU (SEC),0,12,0.4,0.345,0.444,0.4,0.599,5.83,52.58,16.17,19.92,38.89,9.05,15.1,201.3,6.35,12.02,185.3,11.69,0.829,4.03,0.784,4.18,3.8,126.4,4.85,210.8,2.33,18.8,28.1,5.17,2.92,5.8,32.15,4.99,311.7,6.28,412.1,0.67,0.75,SEC,0.667,9.3,0,5,2017
Mississippi St. (SEC),0,12,0.462,0.31,0.522,0.231,0.541,5.75,50.83,12.92,23,39.67,6.14,11.35,170.3,7.45,14.38,175,10.48,0.792,4.13,0.849,4.47,3.73,127,5.17,249.6,0.92,20.4,32.1,4.33,2.5,6.3,33.68,5.24,302,5.52,419.8,-0.17,0.667,SEC,0.25,11.7,0,5,2017
Missouri (SEC),0,12,0.472,0.443,0.273,0.529,0.578,7.25,57.33,20.83,23.92,41.66,9.45,16.34,311.9,7.62,12.77,261.8,16.57,0.907,4.67,0.902,4.71,4.1,163.5,5.3,199.6,1,31.8,39.3,2.83,2.58,7.7,25.03,5.73,425.3,7.24,511.5,-0.33,0.583,SEC,0.001,7.5,0,5,2017
Ole Miss (SEC),0,12,0.381,0.415,0.4,0.632,0.647,7.58,62.42,23.17,21.25,38.53,9.08,14.02,328.4,7.45,12.91,214.2,6.71,0.895,4.63,0.953,4.53,5.35,245.3,4.34,133.9,2.67,34.6,32.8,5.58,2.42,6.2,25.2,6.16,459.5,6.9,462.3,-0.42,0.5,SEC,0.25,-1.8,0,5,2017
South Carolina (SEC),0,12,0.401,0.425,0.429,0.533,0.619,4.58,35.5,20.67,18.17,41.11,7,11.31,212.9,6.92,11.49,227.9,8.12,0.837,4.19,0.844,4.22,3.9,146.7,4.03,127.3,2.17,20.8,24.1,5.17,2,5.3,28.95,5.31,374.6,5.49,340.2,0.75,0.667,SEC,0.001,3.3,0,5,2017
Tennessee (SEC),0,12,0.307,0.452,0.3,0.4,0.564,5.58,41.42,21.83,16.42,42.3,6.53,11.58,173.7,6.95,12.6,161.7,8,0.9,4.8,0.8,4.03,5.43,251.3,3.41,117.4,2.92,29.1,19.8,7.42,1.83,5.1,28.22,5.94,412.9,4.77,291.1,-0.25,0.333,SEC,0.001,-9.3,0,5,2017
Texas A&M (SEC),0,12,0.379,0.337,0.538,0.6,0.547,5,42.75,18.75,19,43.39,7.17,13.11,230.6,7.39,12.51,224.1,18.64,0.896,4.81,0.857,4.41,4.1,164.6,4.02,159,2.25,28.7,31.1,6.17,3.33,7.2,29.13,5.51,388.7,5.43,389.6,0.33,0.583,SEC,0.001,2.4,0,5,2017
Vanderbilt (SEC),0,12,0.417,0.373,0.45,0.529,0.576,5.75,50.08,20.83,18.42,36.11,7.25,12.6,243.6,7.12,12.23,194.6,7.56,0.875,4.73,0.838,4.95,4.97,198.5,3.7,107.2,1.58,31.3,24.6,4.33,2.25,6.3,29.37,5.85,393.1,5.6,350.8,-0.42,0.417,SEC,0.25,-6.7,0,5,2017
Boston College (ACC),0,12,0.325,0.319,0.5,0.364,0.509,7,58.33,15.33,14.5,34.75,6.22,12.22,141.5,7.06,12.34,203.7,13.74,0.818,4.55,0.8,4.03,3.31,106.9,3.43,146.8,1.92,18.4,19.1,7.08,3.25,7.7,33.48,5.08,310.6,4.4,288.3,0.42,0.5,ACC,0.001,0.7,0,5,2016
Clemson (ACC),1,13,0.515,0.297,0.652,0.429,0.677,6.69,59.62,17.69,26.77,35.34,8.08,11.94,332.6,5.85,11.17,188.2,8.09,0.778,4.08,0.838,4.63,3.49,125.8,4.49,173.1,1.08,18.9,40.2,4.77,3.54,8.6,29.87,4.61,313.9,6.35,505.7,0,0.923,ACC,1,21.3,1,0,2016
Duke (ACC),0,12,0.43,0.397,0.375,0.25,0.625,5.17,40.42,18,21.5,35.44,6.49,10.39,239.8,8.93,16.25,239.8,8.33,0.811,4.14,0.805,4.61,4.48,174.9,3.89,153.6,2.58,21.8,23.3,6.08,2.42,6.6,31.42,4.61,316.3,5.15,393.3,-0.33,0.333,ACC,0.333,1.5,0,5,2016
Florida St. (ACC),0,12,0.455,0.338,0.5,0.438,0.596,7.75,73.58,19.08,25.5,34,8.15,13.66,267.6,7.41,13.35,225.9,8.26,0.78,4.17,0.963,5.17,3.74,131.3,5.14,206.8,2.83,22.7,35.3,6.67,3.92,6.7,33.52,5.01,342.8,6.49,474.3,0.33,0.75,ACC,0.6,12.6,0,1,2016
Georgia Tech (ACC),0,12,0.421,0.503,0.45,0.533,0.527,4.08,35.67,21.75,17.5,38.49,10.78,20.44,131.2,7.02,11.18,233.9,11.5,0.814,4.33,0.842,4.42,4.78,174.2,5.52,257.4,1.33,23.3,27.8,5.5,1.33,4.4,30.1,4.84,355.3,6.6,388.6,0.25,0.667,ACC,0.25,4.5,0,5,2016
Louisville (ACC),0,12,0.442,0.306,0.714,0.474,0.582,7.75,71.92,17.25,26.17,39.38,8.86,15.23,302,6.48,11.9,206.3,8.96,0.875,4.5,0.836,4.44,2.99,110,6.29,256.8,3.25,23.3,45.3,6.08,2.42,7,29.13,5.25,356,7.46,558.8,-0.58,0.75,ACC,0.5,22,0,5,2016
Miami (FL) (ACC),0,12,0.371,0.389,0.5,0.318,0.61,7.25,65.58,19.5,20.08,40.71,8.37,13.73,273.5,6.3,10.8,220.4,12.89,0.784,3.81,0.824,4.24,3.52,134.8,4.72,157.7,2,24.4,34.6,5.33,2.75,8.3,27.65,5.45,357.2,6.52,431.2,0.67,0.667,ACC,0.001,10.2,0,5,2016
NC State (ACC),0,12,0.429,0.351,0.48,0.652,0.6,6.42,67.08,19.17,21.92,36.92,7.73,12.9,262.3,7.11,11.78,251.3,6.46,0.86,4.05,0.755,4.04,3.23,104.7,4.04,157.4,1.42,24.6,25.8,5,2.67,6.8,32,5.34,370.1,5.76,419.8,0,0.5,ACC,0.001,1.2,0,5,2016
North Carolina (ACC),0,12,0.461,0.433,0.4,0.667,0.69,7.67,62.25,22.42,21.42,40.17,8.41,12.18,294.3,7.08,12.62,183,8.47,0.796,4.29,0.824,4.41,4.59,235.5,4.88,148.2,1.5,24.9,33.1,6,1.83,5,24.12,5.85,408.1,6.77,442.4,0.08,0.667,ACC,0.5,8.2,0,5,2016
Pittsburgh (ACC),0,12,0.453,0.399,0.636,0.708,0.586,5.75,49.75,23,20.67,36.15,8.86,15.1,217.8,8.03,12.59,343.1,16.73,0.926,4.89,0.923,5.25,3.39,108.9,5.41,229.8,0.75,25,42.3,5.83,3.25,6.7,31.4,6.29,414.7,6.67,447.5,0.25,0.667,ACC,0.5,17.3,0,5,2016
Syracuse (ACC),0,12,0.396,0.414,0.63,0.529,0.636,8,60.75,22.92,22.33,38.76,7.39,11.61,321.3,8.88,15.41,276.1,17.39,0.813,4.5,0.784,4.38,5.43,225,3.2,119.6,3.17,28.2,25.7,7.83,1.33,4.8,28.68,5.42,418.5,5.45,440.8,-0.08,0.333,ACC,0.25,-2.5,0,5,2016
Virginia (ACC),0,12,0.346,0.434,0.522,0.533,0.546,6.33,57.92,21.5,19.83,40.28,5.9,10.8,239.3,8.53,13.93,256.6,9.82,0.927,4.76,0.846,4.69,4.7,190,3.55,113.6,3,35.6,22.5,5.83,2.08,5.5,29,6.03,452,4.86,352.9,-0.75,0.167,ACC,0.001,-13.1,0,5,2016
Virginia Tech (ACC),0,13,0.421,0.284,0.6,0.476,0.622,5.15,47,17.38,23.46,37.55,8.25,13.27,263.3,6.31,12.75,194.2,8.05,0.816,4.26,0.873,4.38,3.94,148.5,4.05,184.9,2.15,33.8,35,6,2,7.9,31.43,6.33,446.6,5.78,448.2,-0.23,0.692,ACC,0.333,1.2,0,5,2016
Wake Forest (ACC),0,12,0.342,0.359,0.412,0.421,0.543,4.5,36.08,19.17,16.92,36.54,5.9,10.86,159.3,6.96,12.07,214.2,3.58,0.756,4.24,0.886,4.11,4.05,155.9,3.61,147.5,3,38.6,19.3,6.08,3.08,6.8,30.95,6.91,501.1,4.52,306.8,0.67,0.5,ACC,0.001,-19.3,0,5,2016
Baylor (Big 12),0,12,0.415,0.414,0.591,0.647,0.545,9.83,78.58,22.08,25,39.49,7.45,13.65,273.1,7.44,13.85,223.9,9.5,0.87,4.57,0.732,3.96,4.34,210.5,5.13,250.3,2,12.5,34.9,4.83,2.33,7.4,27,5.53,434.4,6.13,523.3,-0.58,0.5,Big 12,0.001,22.4,0,5,2016
Iowa St. (Big 12),0,12,0.429,0.448,0.478,0.6,0.59,6.33,56.75,24.42,21.08,38.88,7.8,13.22,258.8,7.32,11.99,234.8,9.42,0.902,4.65,0.927,4.54,4.98,218.2,4.26,162.8,2.67,17.9,27.7,5.17,1.58,6.7,29.65,5.97,452.9,5.91,421.6,-0.25,0.25,Big 12,0.001,9.8,0,5,2016
Kansas (Big 12),0,12,0.33,0.356,0.25,0.444,0.598,5.92,54.5,23.08,17.75,37.16,6.2,10.38,240.4,7.39,12.5,219.8,-1.43,0.774,4.11,0.844,4.13,5.17,236.4,3.53,119.1,2.25,22.8,20.3,6,2.33,7.5,27.8,6.04,456.2,4.96,359.5,-1.17,0.167,Big 12,0.001,-2.5,0,5,2016
Kansas St. (Big 12),0,12,0.463,0.377,0.643,0.409,0.564,6.33,52.5,19.75,21.75,39.68,6.39,11.33,153.8,7.59,12.12,269.6,10.81,0.774,4.06,0.915,4.83,3.63,112.6,5.26,232.9,1.83,22.1,32.2,6,2.5,5.6,32.57,5.75,382.2,5.66,386.8,0.92,0.667,Big 12,0.001,10.1,0,5,2016
Oklahoma (Big 12),0,12,0.516,0.433,0.5,0.5,0.708,4.67,48.25,21.17,25.08,39.4,10.78,15.23,319.8,7.15,12.98,279,10.91,0.791,3.77,0.87,4.61,4.6,160.8,5.38,237.5,1.75,29.7,44.7,5.33,2.08,5.3,32.18,5.95,439.8,7.55,557.3,-0.08,0.833,Big 12,0.667,15,1,0,2016
Oklahoma St. (Big 12),0,12,0.424,0.391,0.364,0.417,0.63,5.33,50.08,23.08,23.67,40.47,8.97,14.24,322.8,7.71,12.58,252.6,10.86,0.761,4.04,0.891,4.55,4.73,204.4,4.52,169.3,2.58,29,38.7,6.5,2.42,6.8,28.55,6.01,457,6.7,492.1,0.83,0.75,Big 12,0.5,9.7,0,5,2016
TCU (Big 12),0,12,0.404,0.431,0.6,0.529,0.583,7.17,65.58,21.42,23.25,37.74,7.03,12.06,278.3,7.23,12.68,245.2,9.87,0.9,4.32,0.815,4.11,4.06,180.7,5.26,196.7,2.17,31.9,31.7,5.67,3.33,6.8,28.22,5.43,425.8,6.17,475,-0.25,0.5,Big 12,0.5,-0.2,0,5,2016
Texas (Big 12),0,12,0.361,0.383,0.5,0.471,0.6,7.08,64.08,23,25.08,42.76,7.52,12.55,252,7.66,12.61,258.5,6.5,0.851,4.28,0.8,3.98,4.14,189.8,4.81,239.3,2.67,37.5,31.9,5.5,3.42,7.6,28.27,5.63,448.3,5.9,491.3,-0.25,0.417,Big 12,0.5,-5.6,0,5,2016
Texas Tech (Big 12),0,12,0.518,0.433,0.44,0.524,0.655,7.83,62,26.75,30,35.11,8.51,12.98,463,8.55,13.98,315.8,9.5,0.855,4.5,0.905,4.9,5.73,238.6,3.13,101.5,2.5,37.3,43.7,5.67,1.17,3.9,30.85,7.05,554.3,6.5,564.5,-0.33,0.417,Big 12,0.001,6.4,0,5,2016
